Date,Open,High,Low,Close,Adj Close,Volume,Rtx
2018-01-30,41.3825,41.842499,41.174999,41.7425,39.981571,184192800,-0.5894110151555609
2018-01-31,41.717499,42.110001,41.625,41.857498,40.091717,129915600,0.2754919260176125
2018-02-01,41.7925,42.154999,41.689999,41.945,40.175529,188923200,0.20905066250964666
2018-02-02,41.5,41.700001,40.025002,40.125,38.432304,346375200,-4.339021895641981
2018-02-05,39.775002,40.970001,39.0,39.122501,37.472095,290954000,-2.4984424561171226
2018-02-06,38.7075,40.93,38.5,40.7575,39.03812,272975200,4.179176531229434
2018-02-07,40.772499,40.849998,39.767502,39.884998,38.202431,206434400,-2.140699910753907
2018-02-08,40.072498,40.25,38.7575,38.787498,37.151226,217562000,-2.7516704368891975
2018-02-09,39.267502,39.4725,37.560001,39.102501,37.605637,282690400,1.223138638816379
2018-02-12,39.625,40.9725,39.377499,40.677502,39.120346,243278000,4.027877522723511
2018-02-13,40.487499,41.1875,40.412498,41.084999,39.512245,130196800,1.0017779495099521
2018-02-14,40.759998,41.884998,40.720001,41.842499,40.240749,162579600,1.8437423639178219
2018-02-15,42.447498,43.272499,42.25,43.247501,41.591965,204588800,3.357830143767959
2018-02-16,43.09,43.705002,42.942501,43.107498,41.457321,160704400,-0.32372598890194615
2018-02-20,43.012501,43.564999,42.855,42.962502,41.317875,135722000,-0.33636037408205643
2018-02-21,43.2075,43.529999,42.752499,42.767502,41.130344,149886400,-0.45387377739053436
2018-02-22,42.950001,43.487499,42.927502,43.125,41.474155,123967600,0.8359059676233294
2018-02-23,43.4175,43.912498,43.384998,43.875,42.19545,135249600,1.7391433291407576
2018-02-26,44.087502,44.8475,44.052502,44.7425,43.029736,152648800,1.9771942235478068
2018-02-27,44.775002,45.119999,44.540001,44.5975,42.890293,155712400,-0.32406194637122354
2018-02-28,44.814999,45.154999,44.512501,44.529999,42.825367,151128400,-0.15137690945594695
2018-03-01,44.634998,44.945,43.165001,43.75,42.075233,195208000,-1.7516113755662643
2018-03-02,43.200001,44.075001,43.112499,44.052502,42.36615,153816000,0.6914210076982785
2018-03-05,43.802502,44.435001,43.630001,44.205002,42.51281,113605600,0.3461725929781334
2018-03-06,44.477501,44.5625,44.032501,44.1675,42.476757,95154000,-0.08480502700245474
2018-03-07,43.735001,43.962502,43.567501,43.7575,42.082439,126814000,-0.9283147486989107
2018-03-08,43.869999,44.279999,43.767502,44.235001,42.541664,95096400,1.0912509134748394
2018-03-09,44.490002,45.0,44.3475,44.994999,43.272568,128740800,1.7180898236608844
2018-03-12,45.072498,45.5975,45.052502,45.43,43.690914,128828400,0.9667695247483232
2018-03-13,45.647499,45.875,44.810001,44.9925,43.270161,126774000,-0.9630217394856921
2018-03-14,45.080002,45.130001,44.452499,44.610001,42.902306,117473600,-0.8501355009980172
2018-03-15,44.625,45.060001,44.517502,44.662498,42.952797,90975200,0.1176883126049022
2018-03-16,44.662498,44.779999,44.404999,44.505001,42.801327,157618800,-0.3526429256748842
2018-03-19,44.330002,44.3675,43.415001,43.825001,42.147354,133787200,-1.527926926190859
2018-03-20,43.810001,44.200001,43.735001,43.810001,42.132935,78597600,-0.03421092579144469
2018-03-21,43.759998,43.772499,42.814999,42.817501,41.178425,148219600,-2.265472367400956
2018-03-22,42.5,43.169998,42.150002,42.212502,40.596588,165963200,-1.4129656488804487
2018-03-23,42.0975,42.48,41.235001,41.235001,39.656502,164115200,-2.315677366777702
2018-03-26,42.017502,43.275002,41.610001,43.192501,41.539074,150164800,4.747196310960544
2018-03-27,43.419998,43.787498,41.73,42.084999,40.473965,163690400,-2.5641134898673923
2018-03-28,41.8125,42.505001,41.297501,41.619999,40.02676,166674000,-1.1049201628750671
2018-03-29,41.952499,42.9375,41.724998,41.945,40.339329,153594000,0.7809000778479014
2018-04-02,41.66,42.235001,41.1175,41.669998,40.074856,150347200,-0.6556207219014509
2018-04-03,41.91,42.1875,41.220001,42.0975,40.485985,121112000,1.025902625826025
2018-04-04,41.220001,43.002499,41.192501,42.9025,41.26017,138422000,1.9122296271166572
2018-04-05,43.145,43.557499,43.02,43.200001,41.54628,107732800,0.6934290382225816
2018-04-06,42.7425,43.119999,42.049999,42.095001,40.483589,140021200,-2.5578487412110107
2018-04-09,42.470001,43.272499,42.462502,42.512501,40.885101,116070800,0.9917895372369312
2018-04-10,43.25,43.5,42.8825,43.3125,41.65448,113634400,1.8818077519241028
2018-04-11,43.057499,43.48,42.924999,43.110001,41.459724,89726400,-0.46755114936015696
2018-04-12,43.352501,43.75,43.259998,43.535,41.868465,91557200,0.9858748697892938
2018-04-13,43.695,43.959999,43.462502,43.682499,42.010315,100497200,0.3387991415496172
2018-04-16,43.7575,44.047501,43.7075,43.955002,42.272385,86313600,0.6238229825222819
2018-04-17,44.122501,44.735001,44.102501,44.560001,42.854218,106421600,1.376390284106277
2018-04-18,44.452499,44.705002,44.220001,44.459999,42.758045,83018000,-0.22441898251416292
2018-04-19,43.439999,43.8475,43.165001,43.200001,41.54628,139235200,-2.834004688474412
2018-04-20,42.650002,42.805,41.357498,41.43,39.844044,261964400,-4.097204370644025
2018-04-23,41.7075,41.73,41.022499,41.310001,39.728634,146062000,-0.28965433328002055
2018-04-24,41.4175,41.5825,40.305,40.735001,39.175652,134768000,-1.3918978437567175
2018-04-25,40.654999,41.355,40.602501,40.912498,39.346344,113528400,0.4357094044025178
2018-04-26,41.029999,41.432499,40.842499,41.055,39.483398,111852000,0.3483271533436527
2018-04-27,41.0,41.0825,40.157501,40.580002,39.026585,142623200,-1.156974888534168
2018-04-30,40.532501,41.814999,40.459999,41.314999,39.73344,169709600,1.811214073688494
2018-05-01,41.602501,42.299999,41.317501,42.275002,40.6567,214277600,2.3236347016518
2018-05-02,43.807499,44.4375,43.450001,44.142502,42.452709,266157600,4.41749822292512
2018-05-03,43.970001,44.375,43.610001,44.2225,42.529636,136272800,0.1812063395059349
2018-05-04,44.5625,46.0625,44.5425,45.9575,44.198219,224805200,3.92334183156422
2018-05-07,46.294998,46.9175,46.1875,46.290001,44.517998,169805600,0.7235110536919942
2018-05-08,46.247501,46.555,45.9175,46.512501,44.731987,113611200,0.48067974664987023
2018-05-09,46.637501,46.849998,46.305,46.84,45.046944,92844800,0.7040979422622273
2018-05-10,46.935001,47.592499,46.912498,47.509998,45.691292,111957200,1.430392259239599
2018-05-11,47.372501,47.514999,46.862499,47.147499,45.517517,104848800,-0.38032411077366657
2018-05-14,47.252499,47.3825,46.965,47.037498,45.41132,83115200,-0.2333101781452518
2018-05-15,46.695,46.767502,46.275002,46.610001,44.9986,94780800,-0.908848278358787
2018-05-16,46.517502,47.115002,46.5,47.044998,45.41856,76732400,0.9332734796193565
2018-05-17,47.0,47.227501,46.59,46.747501,45.131348,69176000,-0.6323670323321484
2018-05-18,46.797501,46.952499,46.532501,46.577499,44.967224,73190800,-0.36365853729872777
2018-05-21,47.0,47.317501,46.727501,46.907501,45.28582,73603200,0.7085071562344947
2018-05-22,47.095001,47.220001,46.695,46.790001,45.172382,60962800,-0.2504934215611043
2018-05-23,46.587502,47.125,46.439999,47.09,45.462009,80233600,0.6411594588923819
2018-05-24,47.192501,47.209999,46.552502,47.037498,45.41132,92936000,-0.11149749233475559
2018-05-25,47.057499,47.412498,46.912498,47.145,45.515106,69844000,0.22854653861636987
2018-05-29,46.900002,47.1875,46.717499,46.974998,45.350979,90056400,-0.3605989624631434
2018-05-30,46.93,47.0,46.695,46.875,45.254433,74762000,-0.21288625323833132
2018-05-31,46.805,47.057499,46.535,46.717499,45.102379,109931200,-0.3359980225583592
2018-06-01,46.997501,47.564999,46.9375,47.560001,45.915764,93770000,1.8034192830493678
2018-06-04,47.91,48.355,47.837502,47.9575,46.299515,105064800,0.8357717841741552
2018-06-05,48.267502,48.485001,48.09,48.327499,46.656719,86264000,0.7715070017472181
2018-06-06,48.407501,48.52,47.98,48.494999,46.818428,83734400,0.3465931669991429
2018-06-07,48.535,48.549999,48.084999,48.365002,46.692921,85388800,-0.26807179429433337
2018-06-08,47.7925,48.0,47.442501,47.924999,46.268139,106627200,-0.9097353322573221
2018-06-11,47.837502,47.9925,47.552502,47.807499,46.154701,73234000,-0.2451751949651415
2018-06-12,47.8475,48.1525,47.787498,48.07,46.408119,67644400,0.5490621637869397
2018-06-13,48.105,48.220001,47.610001,47.674999,46.026775,86553600,-0.821718285974915
2018-06-14,47.887501,47.892502,47.555,47.700001,46.050911,86440400,0.05243904227485441
2018-06-15,47.5075,47.540001,47.064999,47.209999,45.577854,246876800,-1.027247864868508
2018-06-18,46.970001,47.305,46.799999,47.185001,45.553711,73939600,-0.05297090117495351
2018-06-19,46.285,46.5825,45.862499,46.422501,44.817581,134314000,-1.615960552588136
2018-06-20,46.587502,46.799999,46.432499,46.625,45.013084,82514800,0.4362194380816753
2018-06-21,46.8125,47.087502,46.235001,46.365002,44.762074,102847600,-0.55763786369315
2018-06-22,46.529999,46.537498,46.174999,46.23,44.631737,108801600,-0.29117730335729286
2018-06-25,45.849998,46.23,45.182499,45.5425,43.968006,126652400,-1.4871278704658097
2018-06-26,45.747501,46.6325,45.634998,46.107498,44.51347,98276800,1.2405929893659406
2018-06-27,46.307499,46.82,46.0075,46.040001,44.448299,101141200,-0.1464073683763556
2018-06-28,46.025002,46.552502,45.950001,46.375,44.771725,69460800,0.7276453931341686
2018-06-29,46.572498,46.797501,45.727501,46.2775,44.677597,90950800,-0.21023983328765095
2018-07-02,45.955002,46.825001,45.855,46.794998,45.177208,70925200,1.1182584416973063
2018-07-03,46.947498,46.987499,45.884998,45.98,44.390381,55819200,-1.7416459202171164
2018-07-05,46.314999,46.602501,46.07,46.349998,44.747585,66416800,0.8046878444228689
2018-07-06,46.355,47.107498,46.299999,46.9925,45.367878,69940800,1.386204417512138
2018-07-09,47.375,47.669998,47.325001,47.645,45.997814,79026400,1.3885066434008664
2018-07-10,47.677502,47.82,47.544998,47.587502,45.94231,63756400,-0.12066660385208205
2018-07-11,47.125,47.445,46.9025,46.970001,45.346149,75326000,-1.2976295706506713
2018-07-12,47.3825,47.852501,47.327499,47.7575,46.106426,72164400,1.6766076431319554
2018-07-13,47.77,47.959999,47.724998,47.8325,46.178841,50055600,0.1570605364206612
2018-07-16,47.880001,48.162498,47.605,47.727501,46.077469,60172400,-0.21952045093551753
2018-07-17,47.4375,47.967499,47.299999,47.862499,46.207802,62138000,0.2828562480287289
2018-07-18,47.945,47.950001,47.482498,47.599998,45.954376,65573600,-0.548448506596344
2018-07-19,47.422501,48.137501,47.422501,47.970001,46.311584,81147200,0.7773100868565752
2018-07-20,47.945,48.107498,47.5425,47.860001,46.205383,82704800,-0.2293184357503475
2018-07-23,47.669998,47.990002,47.389999,47.9025,46.24641,63957600,0.08879268460992851
2018-07-24,48.112499,48.415001,48.012501,48.25,46.581894,74791600,0.7254271196402096
2018-07-25,48.264999,48.712502,48.107498,48.705002,47.021164,66839600,0.9430058812121223
2018-07-26,48.6525,48.990002,48.4025,48.552502,46.873936,76304000,-0.3131100710309864
2018-07-27,48.747501,48.797501,47.525002,47.744999,46.094357,96096000,-1.6631396177184676
2018-07-30,47.974998,48.049999,47.267502,47.477501,45.836105,84118000,-0.560268147356946
2018-07-31,47.575001,48.035,47.334999,47.572498,45.927818,157492000,0.20008899098211685
2018-08-01,49.782501,50.439999,49.327499,50.375,48.633434,271742800,5.891017944723598
2018-08-02,50.145,52.095001,50.087502,51.8475,50.055027,249616000,2.923077568406951
2018-08-03,51.7575,52.185001,51.369999,51.997501,50.199841,133789600,0.2893096032092757
2018-08-06,52.0,52.3125,51.767502,52.267502,50.46051,101701600,0.5192626008516665
2018-08-07,52.330002,52.375,51.689999,51.7775,49.98745,102349600,-0.9374855703994989
2018-08-08,51.512501,51.952499,51.130001,51.8125,50.02124,90102000,0.06759696683866778
2018-08-09,52.3825,52.445,51.799999,52.220001,50.41465,93970400,0.7864859007893577
2018-08-10,51.84,52.275002,51.6675,51.8825,50.264481,98444800,-0.2978677824798881
2018-08-13,52.327499,52.737499,51.924999,52.217499,50.589031,103563600,0.6456845739638561
2018-08-14,52.540001,52.639999,52.064999,52.4375,50.802181,82992000,0.4213363960262395
2018-08-15,52.305,52.685001,52.0825,52.560001,50.920856,115230400,0.23360217546566364
2018-08-16,52.9375,53.452499,52.8675,53.330002,51.666843,114001600,1.4649930472496298
2018-08-17,53.360001,54.487499,53.290001,54.395,52.698631,141708000,1.9970022166827528
2018-08-20,54.525002,54.794998,53.7775,53.865002,52.185158,121150800,-0.9743573794165461
2018-08-21,54.200001,54.297501,53.5075,53.759998,52.083427,104639200,-0.19494240105587535
2018-08-22,53.525002,54.09,53.459999,53.762501,52.085854,76072400,0.0046598316197465905
2018-08-23,53.662498,54.262501,53.650002,53.872501,52.192421,75532800,0.20459873807581186
2018-08-24,54.150002,54.224998,53.7775,54.040001,52.354706,73905600,0.3109359498767006
